split	value
Sp000	100
Sp001	100
Sp009	100
Sp008	100
Sp007	100
Sp006	100
Sp005	100
Sp013	100
Sp011	100
Sp004	100
Sp003	100
Sp002	100
Sp010	100
Sp012	100
Sp014	100
Sp000Sp001	0.1
Sp008Sp009	0.49
Sp005Sp006	0.365
Sp005Sp006Sp007	0.19
Sp005Sp006Sp007Sp008Sp009	0.405
Sp011Sp013	0.69
Sp003Sp004	0.935
Sp002Sp003Sp004	0.075
Sp002Sp003Sp004Sp011Sp013	0.055
Sp000Sp001Sp010Sp012Sp014	0.1
Sp010Sp012Sp014	0.155
Sp012Sp014	0.845
Sp000Sp012Sp014	0.36
Sp006Sp007	0.17
Sp005Sp008	0.16
Sp005Sp008Sp009	0.06
Sp001Sp010	0.4
Sp001Sp002Sp010	0.65
Sp001Sp002Sp005Sp008Sp009Sp010	0.015
Sp000Sp003Sp004Sp011Sp012Sp013Sp014	0.14
Sp003Sp004Sp011Sp013	0.46
Sp003Sp004Sp008	0.31
Sp003Sp004Sp008Sp009	0.115
Sp003Sp004Sp008Sp009Sp011Sp013	0.19
Sp003Sp004Sp007Sp008Sp009Sp011Sp013	0.065
Sp000Sp001Sp005Sp006Sp010Sp012Sp014	0.025
Sp005Sp006Sp010Sp012Sp014	0.015
Sp006Sp010Sp012Sp014	0.035
Sp001Sp002Sp008Sp009Sp010	0.105
Sp000Sp005Sp006Sp007Sp012Sp014	0.165
Sp000Sp005Sp006Sp012Sp014	0.12
Sp005Sp006Sp012Sp014	0.045
Sp005Sp012Sp014	0.035
Sp007Sp008Sp009	0.31
Sp007Sp009	0.16
Sp005Sp007Sp008Sp009	0.125
Sp000Sp001Sp002Sp010Sp012Sp014	0.28
Sp001Sp010Sp012Sp014	0.04
Sp010Sp012	0.015
Sp000Sp011Sp012Sp013Sp014	0.155
Sp011Sp012Sp013Sp014	0.2
Sp012Sp013Sp014	0.2
Sp005Sp007	0.025
Sp005Sp006Sp007Sp008	0.025
Sp003Sp004Sp009Sp011Sp013	0.035
Sp000Sp006	0.015
Sp001Sp002	0.195
Sp000Sp006Sp012Sp014	0.065
Sp004Sp008	0.035
Sp003Sp004Sp008Sp011Sp013	0.005
Sp001Sp002Sp010Sp012Sp014	0.025
Sp002Sp010Sp012Sp014	0.04
Sp002Sp010	0.095
Sp013Sp014	0.07
Sp001Sp002Sp003Sp004Sp008Sp009Sp010	0.06
Sp005Sp006Sp007Sp012Sp014	0.02
Sp005Sp007Sp012Sp014	0.015
Sp005Sp006Sp007Sp008Sp009Sp011Sp013	0.005
Sp001Sp002Sp009Sp010	0.055
Sp000Sp001Sp005	0.005
Sp003Sp004Sp007Sp008Sp009	0.06
Sp000Sp001Sp002Sp006Sp010Sp012Sp014	0.01
Sp000Sp001Sp006Sp010Sp012Sp014	0.015
Sp001Sp006Sp010Sp012Sp014	0.01
Sp001Sp007Sp008Sp009Sp010	0.005
Sp006Sp012Sp014	0.085
Sp001Sp002Sp003Sp004Sp010	0.045
Sp000Sp005Sp006Sp011Sp012Sp013Sp014	0.045
Sp005Sp006Sp011Sp012Sp013Sp014	0.015
Sp006Sp011Sp012Sp013Sp014	0.035
Sp006Sp011Sp012Sp014	0.005
Sp011Sp012Sp014	0.015
Sp005Sp006Sp011Sp013	0.005
Sp006Sp011Sp013	0.005
Sp001Sp002Sp009	0.005
Sp005Sp006Sp007Sp011Sp012Sp013Sp014	0.015
Sp005Sp007Sp011Sp012Sp013Sp014	0.015
Sp007Sp011Sp012Sp013Sp014	0.02
Sp000Sp006Sp011Sp012Sp013Sp014	0.02
Sp001Sp002Sp007Sp008Sp009Sp010	0.035
Sp005Sp011Sp012Sp013Sp014	0.005
Sp005Sp012Sp013Sp014	0.005
Sp003Sp004Sp005Sp006Sp007Sp008Sp009	0.105
Sp002Sp012Sp014	0.015
Sp000Sp001Sp002	0.05
Sp009Sp011Sp013	0.03
Sp000Sp001Sp012Sp014	0.025
Sp012Sp013	0.015
Sp006Sp007Sp012Sp014	0.035
Sp007Sp012Sp014	0.035
Sp000Sp010	0.005
Sp000Sp001Sp010	0.005
Sp009Sp013	0.01
Sp003Sp004Sp005Sp008Sp009Sp011Sp013	0.035
Sp000Sp001Sp006Sp007Sp010Sp012Sp014	0.01
Sp001Sp002Sp003Sp004Sp010Sp011Sp013	0.005
Sp000Sp006Sp007Sp012Sp014	0.035
Sp000Sp006Sp007	0.005
Sp000Sp003Sp011Sp012Sp013Sp014	0.005
Sp003Sp011Sp012Sp013Sp014	0.005
Sp006Sp007Sp009	0.02
Sp003Sp004Sp005Sp008	0.035
Sp003Sp004Sp005Sp007Sp008Sp009	0.015
Sp000Sp003Sp004Sp005Sp007Sp008Sp009	0.005
Sp002Sp006Sp010Sp011Sp012Sp013Sp014	0.005
Sp006Sp010Sp011Sp012Sp013Sp014	0.01
Sp010Sp011Sp012Sp013Sp014	0.035
Sp010Sp011Sp012Sp014	0.005
Sp002Sp013	0.01
Sp000Sp002Sp013	0.01
