split	value
Sp011	100
Sp010	100
Sp009	100
Sp008	100
Sp007	100
Sp006	100
Sp005	100
Sp004	100
Sp003	100
Sp002	100
Sp001	100
Sp000	0.505
Sp008Sp009	0.4
Sp007Sp008Sp009	0.4
Sp006Sp007Sp008Sp009	0.4
Sp005Sp006Sp007Sp008Sp009	0.4
Sp000Sp001Sp002Sp003Sp010Sp011	0.4
Sp000Sp001Sp002Sp010Sp011	0.4
Sp000Sp001Sp010Sp011	0.4
Sp000Sp010Sp011	0.4
Sp000Sp011	0.38
Sp010Sp011	0.145
Sp009Sp010Sp011	0.145
Sp008Sp009Sp010Sp011	0.145
Sp007Sp008Sp009Sp010Sp011	0.145
Sp000Sp001Sp002Sp003Sp004Sp005	0.145
Sp000Sp001Sp002Sp003Sp004	0.145
Sp000Sp001Sp002Sp003	0.145
Sp000Sp001Sp002	0.145
Sp000Sp001	0.145
Sp009Sp010	0.235
Sp008Sp009Sp010	0.235
Sp007Sp008Sp009Sp010	0.235
Sp006Sp007Sp008Sp009Sp010	0.235
Sp000Sp001Sp002Sp003Sp004Sp011	0.235
Sp000Sp001Sp002Sp003Sp011	0.235
Sp000Sp001Sp002Sp011	0.235
Sp000Sp001Sp011	0.235
Sp009Sp011	0.22
Sp008Sp009Sp011	0.22
Sp007Sp008Sp009Sp011	0.22
Sp006Sp007Sp008Sp009Sp011	0.22
Sp000Sp001Sp002Sp003Sp004Sp010	0.22
Sp000Sp001Sp002Sp003Sp010	0.22
Sp000Sp001Sp002Sp010	0.22
Sp000Sp001Sp010	0.22
Sp000Sp010	0.475
