split	value
Sp011	100
Sp019	100
Sp013	100
Sp012	100
Sp018	100
Sp017	100
Sp016	100
Sp015	100
Sp000	100
Sp008	100
Sp005	100
Sp006	100
Sp007	100
Sp004	100
Sp002	100
Sp003	100
Sp001	100
Sp009	100
Sp010	100
Sp014	100
Sp012Sp013	0.19
Sp015Sp016	0.07
Sp015Sp016Sp017	1.0
Sp015Sp016Sp017Sp018	0.24
Sp004Sp007	0.52
Sp004Sp006Sp007	0.05
Sp001Sp003	0.705
Sp001Sp002Sp003	0.99
Sp001Sp002Sp003Sp004Sp006Sp007	0.265
Sp001Sp002Sp003Sp004Sp005Sp006Sp007	0.805
Sp001Sp002Sp003Sp004Sp005Sp006Sp007Sp008	1.0
Sp000Sp001Sp002Sp003Sp004Sp005Sp006Sp007Sp008	1.0
Sp009Sp010Sp011Sp012Sp013Sp014Sp019	0.245
Sp009Sp010Sp011Sp014Sp019	0.075
Sp009Sp010Sp011Sp014	0.125
Sp009Sp010Sp014	0.155
Sp010Sp014	0.09
Sp016Sp017	0.91
Sp015Sp016Sp017Sp019	0.2
Sp001Sp002	0.285
Sp001Sp002Sp003Sp006	0.455
Sp001Sp002Sp003Sp006Sp007	0.04
Sp009Sp010Sp011Sp012Sp013Sp014Sp018	0.19
Sp009Sp010Sp011Sp012Sp013Sp014	0.285
Sp009Sp011Sp014	0.07
Sp009Sp014	0.255
Sp015Sp016Sp017Sp018Sp019	0.205
Sp009Sp010Sp011Sp012Sp014	0.21
Sp009Sp010Sp012Sp014	0.105
Sp009Sp012Sp014	0.09
Sp001Sp002Sp003Sp005Sp006	0.42
Sp009Sp011Sp012Sp013Sp014Sp018	0.01
Sp009Sp012Sp013Sp014Sp018	0.005
Sp009Sp014Sp018	0.005
Sp014Sp018	0.03
Sp013Sp018	0.315
Sp012Sp013Sp018	0.01
Sp011Sp012Sp013Sp018	0.005
Sp009Sp010Sp011Sp012Sp013Sp014Sp018Sp019	0.485
Sp006Sp007	0.29
Sp001Sp002Sp003Sp005	0.35
Sp001Sp002Sp003Sp004Sp005	0.23
Sp009Sp010Sp011Sp012Sp014Sp019	0.37
Sp009Sp010Sp011Sp012Sp019	0.295
Sp009Sp010Sp011Sp012	0.355
Sp009Sp010Sp012	0.245
Sp009Sp010	0.295
Sp009Sp012	0.135
Sp009Sp011Sp012Sp014	0.035
Sp011Sp013	0.2
Sp005Sp008	0.01
Sp001Sp002Sp006	0.005
Sp001Sp002Sp003Sp005Sp006Sp008	0.01
Sp001Sp002Sp003Sp004Sp005Sp006Sp008	0.005
Sp009Sp011Sp012Sp013Sp014Sp015Sp016Sp017Sp018Sp019	0.02
Sp009Sp012Sp014Sp015Sp016Sp017Sp018Sp019	0.005
Sp009Sp014Sp015Sp016Sp017Sp018Sp019	0.005
Sp015Sp017	0.02
Sp013Sp014Sp018	0.035
Sp004Sp005	0.035
Sp009Sp010Sp011	0.21
Sp013Sp014	0.03
Sp001Sp002Sp003Sp004Sp006Sp007Sp008	0.09
Sp009Sp011	0.125
Sp001Sp002Sp003Sp004Sp005Sp006	0.115
Sp009Sp010Sp011Sp012Sp014Sp015Sp016Sp017Sp019	0.02
Sp009Sp010Sp012Sp019	0.045
Sp009Sp012Sp019	0.01
Sp012Sp014	0.005
Sp011Sp012Sp013	0.105
Sp009Sp011Sp012Sp013Sp014Sp018Sp019	0.01
Sp009Sp011Sp012Sp013Sp014Sp019	0.01
Sp009Sp014Sp019	0.005
Sp014Sp019	0.005
Sp009Sp010Sp011Sp012Sp014Sp015Sp016Sp017Sp018Sp019	0.045
Sp001Sp002Sp003Sp004	0.135
Sp009Sp011Sp012Sp013Sp014	0.04
Sp001Sp002Sp003Sp004Sp005Sp007	0.025
Sp009Sp010Sp011Sp012Sp015Sp016Sp017Sp018Sp019	0.015
Sp013Sp015Sp016Sp017Sp018	0.075
Sp006Sp007Sp008	0.07
Sp009Sp010Sp011Sp019	0.095
Sp009Sp010Sp019	0.055
Sp009Sp010Sp011Sp012Sp013	0.07
Sp009Sp010Sp012Sp014Sp015Sp016Sp017Sp018Sp019	0.005
Sp014Sp015Sp016Sp017Sp018Sp019	0.005
Sp009Sp010Sp011Sp012Sp013Sp019	0.02
Sp010Sp012	0.025
Sp009Sp010Sp014Sp019	0.025
Sp018Sp019	0.02
Sp010Sp012Sp014	0.015
Sp002Sp003	0.01
Sp000Sp001Sp002Sp003Sp004Sp005Sp006Sp007Sp008Sp019	0.015
Sp009Sp010Sp011Sp014Sp015Sp016Sp017Sp018Sp019	0.025
Sp001Sp002Sp003Sp004Sp006	0.015
Sp009Sp010Sp012Sp014Sp019	0.03
Sp009Sp010Sp011Sp012Sp013Sp014Sp015Sp016Sp017Sp019	0.03
Sp009Sp019	0.03
Sp007Sp008	0.02
Sp004Sp007Sp008	0.005
Sp009Sp011Sp012	0.065
Sp011Sp013Sp018	0.01
Sp009Sp010Sp011Sp012Sp013Sp014Sp015Sp016Sp017	0.005
Sp009Sp010Sp014Sp015Sp016Sp017	0.005
Sp009Sp014Sp015Sp016Sp017	0.005
Sp009Sp011Sp014Sp019	0.005
Sp009Sp010Sp014Sp015Sp016Sp017Sp018Sp019	0.005
Sp010Sp011	0.02
Sp009Sp011Sp012Sp019	0.005
Sp013Sp014Sp015Sp016Sp017Sp018	0.005
Sp014Sp015Sp016Sp017Sp018	0.005
Sp012Sp013Sp014	0.01
Sp001Sp002Sp003Sp005Sp006Sp007	0.01
Sp009Sp010Sp011Sp014Sp018	0.005
Sp009Sp011Sp012Sp013	0.01
Sp001Sp002Sp003Sp004Sp007	0.01
Sp011Sp013Sp015Sp016Sp017Sp018Sp019	0.005
Sp009Sp012Sp014Sp019	0.005
Sp011Sp013Sp014Sp018	0.005
Sp006Sp008	0.005
Sp004Sp006Sp007Sp008	0.005
Sp009Sp011Sp019	0.005
Sp011Sp013Sp014	0.005
Sp003Sp008	0.005
Sp001Sp002Sp005Sp006	0.005
Sp005Sp006	0.005
Sp009Sp010Sp012Sp014Sp018	0.005
