split	value
Sp008	0.505
Sp019	100
Sp007	100
Sp006	100
Sp004	100
Sp005	100
Sp003	100
Sp002	100
Sp001	100
Sp017	100
Sp016	100
Sp015	100
Sp018	100
Sp013	100
Sp012	100
Sp014	100
Sp011	100
Sp010	100
Sp009	100
Sp000	100
Sp006Sp007	0.3
Sp001Sp002	0.52
Sp001Sp002Sp003	0.88
Sp001Sp002Sp003Sp005	0.235
Sp001Sp002Sp003Sp004Sp005	0.085
Sp001Sp002Sp003Sp004Sp005Sp006Sp007	0.995
Sp015Sp016	0.72
Sp015Sp016Sp017	0.995
Sp013Sp018	0.21
Sp010Sp011	0.2
Sp010Sp011Sp014	0.08
Sp010Sp011Sp012Sp014	0.225
Sp009Sp010Sp011Sp012Sp014	0.27
Sp009Sp010Sp011Sp012Sp013Sp014Sp018	0.665
Sp000Sp001Sp002Sp003Sp004Sp005Sp006Sp007Sp008Sp019	0.785
Sp001Sp002Sp003Sp004Sp005Sp006Sp007Sp008Sp019	0.015
Sp008Sp019	0.01
Sp010Sp012	0.405
Sp010Sp011Sp012	0.265
Sp010Sp011Sp012Sp013Sp014Sp018	0.135
Sp000Sp001Sp002Sp003Sp004Sp005Sp006Sp007Sp008	0.97
Sp004Sp007	0.495
Sp001Sp003	0.465
Sp001Sp002Sp003Sp004Sp007	0.07
Sp001Sp002Sp003Sp004Sp006Sp007	0.305
Sp000Sp008	0.38
Sp016Sp017	0.17
Sp009Sp010Sp012	0.13
Sp009Sp010Sp011Sp012	0.175
Sp009Sp010Sp011Sp012Sp013	0.135
Sp009Sp010Sp011Sp012Sp013Sp014	0.51
Sp004Sp006Sp007	0.085
Sp015Sp017	0.11
Sp000Sp001Sp002Sp003Sp004Sp005Sp006Sp007	0.455
Sp004Sp005	0.04
Sp004Sp005Sp006Sp007	0.07
Sp010Sp011Sp012Sp013Sp018	0.045
Sp009Sp010Sp011Sp012Sp013Sp014Sp018Sp019	0.155
Sp001Sp002Sp003Sp004Sp005Sp006Sp007Sp008	0.15
Sp010Sp013	0.015
Sp010Sp012Sp013	0.065
Sp010Sp012Sp013Sp014	0.09
Sp010Sp011Sp012Sp013Sp014	0.26
Sp001Sp002Sp003Sp006	0.2
Sp015Sp016Sp017Sp018	0.105
Sp011Sp013	0.055
Sp009Sp010Sp012Sp014	0.11
Sp001Sp002Sp003Sp006Sp007	0.135
Sp004Sp005Sp007	0.1
Sp001Sp002Sp003Sp004Sp005Sp007	0.205
Sp015Sp016Sp017Sp019	0.01
Sp009Sp011	0.03
Sp009Sp010Sp011	0.08
Sp009Sp010Sp011Sp014	0.065
Sp000Sp001Sp002Sp003Sp004Sp005Sp006Sp007Sp008Sp018	0.01
Sp010Sp012Sp014	0.235
Sp001Sp003Sp005	0.005
Sp001Sp002Sp003Sp005Sp007	0.05
Sp010Sp011Sp012Sp013	0.115
Sp010Sp014	0.185
Sp009Sp010	0.08
Sp009Sp010Sp012Sp013	0.035
Sp009Sp010Sp011Sp012Sp013Sp018	0.06
Sp001Sp002Sp003Sp005Sp006Sp007	0.15
Sp013Sp015Sp016Sp017Sp018	0.02
Sp009Sp010Sp011Sp012Sp014Sp019	0.02
Sp011Sp012	0.02
Sp010Sp011Sp012Sp013Sp014Sp015Sp016Sp017	0.015
Sp010Sp011Sp012Sp013Sp014Sp015Sp016Sp017Sp018	0.05
Sp005Sp006Sp007	0.045
Sp009Sp010Sp011Sp012Sp014Sp018	0.02
Sp001Sp002Sp003Sp007	0.05
Sp001Sp002Sp006	0.02
Sp001Sp002Sp005Sp006	0.01
Sp001Sp002Sp003Sp005Sp006	0.135
Sp011Sp014	0.01
Sp011Sp012Sp014	0.005
Sp011Sp012Sp013Sp014	0.005
Sp010Sp012Sp013Sp018	0.025
Sp010Sp012Sp013Sp014Sp018	0.035
Sp010Sp012Sp013Sp014Sp015Sp016Sp017Sp018	0.005
Sp009Sp010Sp012Sp013Sp014Sp015Sp016Sp017Sp018	0.01
Sp009Sp010Sp012Sp013Sp014	0.05
Sp018Sp019	0.005
Sp015Sp016Sp017Sp018Sp019	0.02
Sp009Sp010Sp011Sp012Sp018	0.005
Sp012Sp013	0.095
Sp001Sp002Sp005	0.03
Sp001Sp002Sp004Sp005Sp007	0.035
Sp001Sp002Sp004Sp005Sp006Sp007	0.045
Sp010Sp013Sp014	0.02
Sp010Sp011Sp013Sp014	0.03
Sp009Sp010Sp011Sp012Sp013Sp014Sp019	0.04
Sp013Sp014	0.06
Sp009Sp010Sp011Sp012Sp013Sp014Sp015Sp016Sp017	0.085
Sp000Sp008Sp019	0.015
Sp010Sp011Sp019	0.005
Sp010Sp011Sp012Sp019	0.005
Sp010Sp011Sp012Sp014Sp019	0.01
Sp010Sp011Sp012Sp013Sp014Sp018Sp019	0.005
Sp000Sp001Sp002Sp003Sp004Sp005Sp006Sp007Sp008Sp009	0.01
Sp005Sp007	0.01
Sp012Sp013Sp014	0.01
Sp009Sp010Sp011Sp013Sp014	0.015
Sp001Sp002Sp004	0.025
Sp001Sp002Sp004Sp005	0.015
Sp010Sp011Sp012Sp014Sp015Sp016Sp017	0.005
Sp010Sp013Sp018	0.005
Sp009Sp010Sp011Sp012Sp014Sp015Sp016Sp017	0.015
Sp001Sp007	0.01
Sp001Sp002Sp007	0.02
Sp012Sp014	0.02
Sp014Sp015Sp016Sp017	0.005
Sp011Sp012Sp013	0.005
Sp013Sp014Sp018	0.02
Sp001Sp002Sp003Sp004	0.05
Sp001Sp002Sp003Sp004Sp005Sp006Sp007Sp019	0.005
Sp001Sp002Sp004Sp007	0.025
Sp010Sp011Sp013	0.02
Sp010Sp011Sp013Sp014Sp018	0.005
Sp009Sp010Sp012Sp013Sp014Sp018	0.025
Sp001Sp002Sp004Sp006Sp007	0.015
Sp001Sp002Sp003Sp004Sp005Sp006	0.015
Sp009Sp010Sp014	0.03
Sp005Sp006	0.02
Sp014Sp015Sp016Sp017Sp018	0.005
Sp009Sp010Sp011Sp013	0.005
Sp009Sp010Sp011Sp012Sp013Sp015Sp016Sp017Sp018	0.02
Sp015Sp016Sp018	0.005
Sp009Sp010Sp011Sp012Sp013Sp014Sp015Sp016Sp018	0.005
Sp009Sp010Sp011Sp012Sp014Sp015Sp016Sp017Sp018	0.005
Sp010Sp011Sp012Sp014Sp018	0.005
Sp001Sp003Sp005Sp006	0.005
Sp009Sp010Sp011Sp012Sp013Sp015Sp016Sp017	0.005
Sp010Sp011Sp018	0.005
Sp014Sp018	0.01
Sp009Sp010Sp012Sp014Sp018	0.015
Sp009Sp010Sp013Sp014	0.01
Sp000Sp001Sp002Sp004Sp005Sp006Sp007	0.005
Sp001Sp002Sp005Sp007	0.01
Sp010Sp011Sp012Sp013Sp014Sp019	0.01
Sp010Sp011Sp012Sp013Sp014Sp015Sp016Sp017Sp019	0.005
Sp001Sp003Sp006	0.005
Sp000Sp001Sp002Sp003Sp004Sp005Sp006Sp007Sp008Sp014	0.005
Sp009Sp010Sp011Sp012Sp013Sp018Sp019	0.005
Sp010Sp012Sp014Sp018	0.005
Sp001Sp004	0.005
Sp001Sp003Sp004Sp007	0.005
Sp009Sp014	0.005
Sp009Sp012Sp014	0.005
Sp010Sp011Sp013Sp018	0.005
Sp012Sp013Sp014Sp018	0.005
