split	value
Sp014	100
Sp011	100
Sp013	100
Sp009	100
Sp005	100
Sp010	100
Sp008	100
Sp006	100
Sp004	100
Sp003	100
Sp007	100
Sp002	100
Sp001	100
Sp012	0.505
Sp017	100
Sp015	100
Sp018	100
Sp019	100
Sp016	100
Sp000	100
Sp011Sp014	0.97
Sp009Sp013	0.58
Sp008Sp010	1.0
Sp004Sp006	1.0
Sp004Sp006Sp008Sp010	0.025
Sp002Sp007	0.01
Sp001Sp002Sp007	0.02
Sp001Sp002Sp003Sp007	0.01
Sp001Sp002Sp003Sp004Sp006Sp007Sp008Sp010	0.935
Sp001Sp002Sp003Sp004Sp005Sp006Sp007Sp008Sp010	1.0
Sp000Sp011Sp012Sp014Sp015Sp016Sp017Sp018Sp019	0.56
Sp000Sp012Sp015Sp016Sp017Sp018Sp019	0.475
Sp000Sp016	0.59
Sp000Sp016Sp019	0.125
Sp000Sp016Sp018Sp019	0.235
Sp000Sp015Sp016Sp018Sp019	0.345
Sp000Sp015Sp016Sp017Sp018Sp019	0.38
Sp002Sp004Sp006	0.145
Sp002Sp004Sp006Sp008Sp010	0.96
Sp001Sp003	0.06
Sp001Sp003Sp007	0.825
Sp012Sp016	0.175
Sp017Sp018	0.01
Sp000Sp019	0.135
Sp000Sp017Sp018Sp019	0.02
Sp000Sp015Sp017Sp018Sp019	0.04
Sp011Sp014Sp015	0.115
Sp002Sp008Sp010	0.82
Sp001Sp007	0.54
Sp000Sp012Sp016Sp017Sp018Sp019	0.105
Sp000Sp018	0.03
Sp000Sp016Sp018	0.48
Sp000Sp016Sp017Sp018Sp019	0.09
Sp009Sp019	0.41
Sp003Sp007	0.365
Sp000Sp009Sp011Sp012Sp014Sp015Sp016Sp017Sp018Sp019	0.34
Sp000Sp009Sp012Sp015Sp016Sp017Sp018Sp019	0.295
Sp000Sp012Sp015Sp016Sp017Sp018	0.385
Sp000Sp015Sp016	0.07
Sp000Sp015Sp016Sp018	0.56
Sp000Sp015Sp016Sp017Sp018	0.36
Sp014Sp015	0.03
Sp000Sp018Sp019	0.065
Sp016Sp018	0.215
Sp009Sp011Sp014Sp019	0.085
Sp000Sp015	0.175
Sp000Sp015Sp018	0.09
Sp000Sp015Sp018Sp019	0.08
Sp002Sp004Sp005Sp006Sp008Sp010	0.065
Sp000Sp012Sp015Sp016Sp018Sp019	0.055
Sp000Sp011Sp012Sp013Sp014Sp015Sp016Sp017Sp018Sp019	0.01
Sp000Sp012Sp015Sp016Sp018	0.06
Sp000Sp009Sp012Sp013Sp015Sp016Sp017Sp018Sp019	0.055
Sp009Sp011Sp013Sp014	0.025
Sp002Sp003Sp004Sp006Sp008Sp010	0.11
Sp000Sp009Sp012Sp013Sp016Sp017Sp018Sp019	0.005
Sp000Sp011Sp014Sp015Sp016Sp018	0.02
Sp000Sp009Sp011Sp014Sp015Sp016Sp018Sp019	0.02
Sp012Sp017	0.025
Sp003Sp004Sp006	0.02
Sp001Sp002Sp008Sp010	0.015
Sp001Sp002Sp007Sp008Sp010	0.005
Sp011Sp013Sp014	0.015
Sp015Sp018	0.04
Sp002Sp003Sp004Sp006Sp007Sp008Sp010	0.02
Sp000Sp009Sp012Sp016Sp017Sp018Sp019	0.005
Sp000Sp012Sp016Sp017Sp018	0.005
Sp000Sp016Sp017Sp018	0.005
Sp000Sp011Sp014Sp015Sp016Sp018Sp019	0.005
Sp000Sp012Sp016Sp018Sp019	0.005
Sp000Sp015Sp017Sp018	0.01
Sp000Sp011Sp014Sp015Sp016Sp017Sp018Sp019	0.005
Sp001Sp002Sp003Sp004Sp006Sp008Sp010	0.015
Sp001Sp002	0.015
Sp001Sp002Sp004Sp006Sp008Sp010	0.005
Sp017Sp019	0.005
Sp003Sp004Sp006Sp008Sp010	0.01
Sp009Sp011Sp013Sp014Sp019	0.005
Sp003Sp004Sp006Sp007	0.005
