split	value
Sp012	100
Sp011	100
Sp013	100
Sp008	100
Sp009	100
Sp007	100
Sp006	100
Sp019	100
Sp015	100
Sp010	100
Sp018	100
Sp014	100
Sp005	100
Sp004	100
Sp003	100
Sp002	100
Sp017	100
Sp016	100
Sp001	100
Sp000	100
Sp011Sp012	0.64
Sp008Sp013	0.355
Sp008Sp011Sp012Sp013	0.27
Sp015Sp019	0.76
Sp004Sp005	0.675
Sp002Sp003	1.0
Sp002Sp003Sp004Sp005	0.135
Sp002Sp003Sp004Sp005Sp014	0.19
Sp002Sp003Sp004Sp005Sp014Sp018	0.785
Sp002Sp003Sp004Sp005Sp010Sp014Sp018	0.6
Sp002Sp003Sp004Sp005Sp010Sp014Sp015Sp018Sp019	0.58
Sp000Sp001Sp007Sp008Sp009Sp011Sp012Sp013Sp016Sp017	0.435
Sp000Sp001Sp008Sp009Sp011Sp012Sp013Sp016Sp017	0.13
Sp000Sp001Sp008Sp011Sp012Sp013Sp016Sp017	0.555
Sp000Sp001	1.0
Sp000Sp001Sp016	0.795
Sp000Sp001Sp016Sp017	0.58
Sp004Sp018	0.195
Sp002Sp003Sp004Sp018	0.17
Sp002Sp003Sp004Sp005Sp018	0.415
Sp002Sp003Sp004Sp005Sp014Sp015Sp018Sp019	0.19
Sp000Sp001Sp007Sp009Sp011Sp012Sp013Sp016Sp017	0.06
Sp000Sp001Sp007Sp009Sp011Sp012Sp016Sp017	0.05
Sp000Sp001Sp007Sp009Sp011Sp016Sp017	0.01
Sp000Sp001Sp007Sp009Sp016Sp017	0.015
Sp007Sp009	0.315
Sp008Sp012Sp013	0.09
Sp009Sp015Sp019	0.23
Sp004Sp005Sp018	0.1
Sp002Sp003Sp014	0.29
Sp002Sp003Sp004Sp005Sp006Sp010Sp014Sp018	0.16
Sp000Sp001Sp007Sp008Sp011Sp012Sp013Sp016Sp017	0.185
Sp002Sp003Sp018	0.33
Sp002Sp003Sp014Sp018	0.135
Sp000Sp001Sp006Sp008Sp009Sp011Sp012Sp013Sp016Sp017	0.02
Sp000Sp001Sp006Sp008Sp011Sp012Sp013Sp016Sp017	0.055
Sp002Sp003Sp004Sp005Sp014Sp015Sp018	0.12
Sp000Sp001Sp007Sp008Sp009Sp011Sp012Sp016Sp017	0.04
Sp000Sp001Sp008Sp009Sp011Sp012Sp016Sp017	0.015
Sp000Sp001Sp008Sp011Sp012Sp016Sp017	0.125
Sp008Sp016	0.02
Sp000Sp001Sp008Sp016	0.055
Sp011Sp012Sp017	0.125
Sp000Sp001Sp006Sp007Sp008Sp009Sp011Sp012Sp016Sp017	0.04
Sp000Sp001Sp006Sp008Sp011Sp012Sp016Sp017	0.02
Sp006Sp008	0.02
Sp000Sp001Sp006Sp008Sp016	0.01
Sp000Sp001Sp006Sp008Sp016Sp017	0.01
Sp011Sp012Sp013	0.19
Sp010Sp019	0.055
Sp000Sp001Sp009Sp011Sp012Sp013Sp016Sp017	0.015
Sp000Sp001Sp011Sp012Sp013Sp016Sp017	0.065
Sp012Sp013	0.135
Sp000Sp001Sp008Sp016Sp017	0.08
Sp006Sp010	0.025
Sp000Sp001Sp011Sp012Sp016Sp017	0.15
Sp006Sp007	0.185
Sp014Sp015Sp019	0.015
Sp008Sp012	0.09
Sp013Sp016	0.035
Sp000Sp001Sp006Sp007Sp008Sp011Sp012Sp013Sp016Sp017	0.155
Sp000Sp001Sp008Sp011Sp012Sp013Sp016	0.005
Sp008Sp011Sp012Sp013Sp016	0.01
Sp008Sp011Sp012	0.045
Sp002Sp003Sp005Sp014	0.025
Sp016Sp017	0.08
Sp007Sp009Sp011Sp012Sp013	0.035
Sp004Sp005Sp014	0.03
Sp006Sp007Sp009	0.035
Sp010Sp014	0.105
Sp002Sp003Sp004Sp005Sp010Sp014	0.01
Sp000Sp001Sp006Sp007Sp009Sp011Sp012Sp016Sp017	0.005
Sp006Sp007Sp009Sp011Sp012	0.005
Sp006Sp015Sp019	0.035
Sp000Sp001Sp007Sp016	0.005
Sp009Sp011Sp012Sp017	0.005
Sp009Sp015	0.07
Sp005Sp014	0.03
Sp002Sp003Sp004	0.075
Sp002Sp003Sp004Sp005Sp009Sp014Sp015Sp018Sp019	0.01
Sp000Sp001Sp007Sp008Sp010Sp011Sp012Sp013Sp016Sp017	0.005
Sp000Sp001Sp007Sp008Sp011Sp012Sp016Sp017	0.02
Sp000Sp001Sp007Sp011Sp012Sp016Sp017	0.01
Sp007Sp017	0.025
Sp000Sp001Sp007Sp016Sp017	0.005
Sp008Sp016Sp017	0.015
