split	value
Sp007	100
Sp005	100
Sp000	100
Sp002	100
Sp009	100
Sp006	100
Sp001	100
Sp008	100
Sp003	100
Sp010	100
Sp004	100
Sp011	100
Sp000Sp005	0.085
Sp006Sp009	0.355
Sp001Sp006Sp009	0.9
Sp001Sp002Sp006Sp009	1.0
Sp003Sp004Sp007Sp008Sp010Sp011	1.0
Sp003Sp008	0.17
Sp004Sp007Sp010Sp011	0.02
Sp004Sp010Sp011	0.16
Sp004Sp010	1.0
Sp001Sp006	0.56
Sp001Sp002Sp005Sp006Sp009	0.915
Sp003Sp007	0.77
Sp003Sp007Sp011	0.27
Sp004Sp008Sp010	0.46
Sp001Sp002Sp006	0.055
Sp003Sp004Sp007Sp008Sp010	0.46
Sp003Sp004Sp008Sp010	0.025
Sp003Sp007Sp008	0.42
Sp001Sp002	0.03
Sp003Sp007Sp008Sp011	0.085
Sp008Sp011	0.015
Sp007Sp011	0.095
Sp001Sp009	0.065
Sp002Sp006	0.035
Sp004Sp008Sp010Sp011	0.035
Sp003Sp004Sp007Sp010Sp011	0.015
